Wall time,Step,Value
1640269631.041673,0,2.0525317192077637
1640269708.553477,1,1.553773283958435
1640269785.651072,2,1.2601232528686523
1640269863.448627,3,1.0431774854660034
1640269939.722374,4,0.9050782918930054
1640270016.580919,5,0.789884090423584
1640270094.529407,6,0.7040607333183289
1640270172.455501,7,0.6462827324867249
1640270250.040459,8,0.6007752418518066
1640270327.655783,9,0.554478645324707
1640270405.638019,10,0.5152972936630249
1640270483.552193,11,0.48093482851982117
1640270561.678147,12,0.45056793093681335
1640270639.721655,13,0.4257909953594208
1640270717.552027,14,0.39878925681114197
1640270795.497622,15,0.37917453050613403
1640270873.334232,16,0.3646608293056488
1640270951.21085,17,0.3449184000492096
1640271028.317064,18,0.3235853314399719
1640271106.246747,19,0.3061072826385498
1640271184.579154,20,0.29201027750968933
1640271262.557712,21,0.279773473739624
1640271340.443782,22,0.26534169912338257
1640271418.439311,23,0.2552487552165985
1640271496.565069,24,0.24294407665729523
1640271574.626144,25,0.23163184523582458
1640271652.527934,26,0.22999317944049835
1640271730.330833,27,0.20987872779369354
1640271808.157234,28,0.20090323686599731
1640271885.868355,29,0.19570742547512054
1640271963.773163,30,0.18167826533317566
1640272041.670712,31,0.17799103260040283
1640272119.358279,32,0.1700366884469986
1640272195.763855,33,0.16377872228622437
1640272271.904401,34,0.15279127657413483
1640272348.089838,35,0.1462007761001587
1640272424.434833,36,0.14180822670459747
1640272502.31852,37,0.13273540139198303
1640272580.415461,38,0.12701411545276642
1640272658.346413,39,0.1251891702413559
1640272736.351325,40,0.11656532436609268
1640272814.33206,41,0.10955691337585449
1640272892.363111,42,0.10745635628700256
1640272969.66287,43,0.10118086636066437
1640273047.085445,44,0.09999829530715942
1640273125.006255,45,0.09493431448936462
1640273203.080642,46,0.0878734439611435
1640273280.946104,47,0.08625412732362747
1640273358.989747,48,0.08060853183269501
1640273436.93272,49,0.07700007408857346
1640273514.825937,50,0.07238510996103287
1640273592.675989,51,0.0696258693933487
1640273670.618691,52,0.06597483903169632
1640273748.605587,53,0.06340020895004272
1640273826.569932,54,0.05729372054338455
1640273904.512061,55,0.059091053903102875
1640273982.597648,56,0.05466838553547859
1640274060.456104,57,0.050463538616895676
1640274138.403206,58,0.0493868850171566
1640274216.516133,59,0.04643091931939125
1640274294.634584,60,0.04349818080663681
1640274372.466599,61,0.04106420651078224
1640274450.485217,62,0.04069765657186508
1640274528.327453,63,0.03347573056817055
1640274606.396131,64,0.037534769624471664
1640274684.484681,65,0.033155836164951324
1640274762.463075,66,0.030282193794846535
1640274840.341604,67,0.02846488729119301
1640274918.299339,68,0.02976049669086933
1640274996.423052,69,0.026312001049518585
1640275074.365404,70,0.0241123978048563
1640275152.363101,71,0.024817435070872307
1640275230.090594,72,0.022978056222200394
1640275308.079994,73,0.021506069228053093
1640275385.921106,74,0.021073095500469208
1640275463.752493,75,0.01921979710459709
1640275541.576828,76,0.018127992749214172
1640275619.576016,77,0.016189491376280785
1640275697.61688,78,0.016963066533207893
1640275775.892682,79,0.0144491046667099
1640275853.8968,80,0.013670728541910648
1640275931.925555,81,0.012713217176496983
1640276009.856849,82,0.012616023421287537
1640276087.870225,83,0.013625855557620525
1640276165.825257,84,0.012131281197071075
1640276243.762838,85,0.01163504645228386
1640276321.727796,86,0.011792576871812344
1640276399.614386,87,0.010140047408640385
1640276477.582985,88,0.01089463010430336
1640276555.496746,89,0.009292961098253727
1640276633.507828,90,0.009546361863613129
1640276711.448509,91,0.008699956350028515
1640276788.20777,92,0.00943176168948412
1640276864.43735,93,0.008458605967462063
1640276941.704839,94,0.009405454620718956
1640277019.755896,95,0.008312566205859184
1640277097.682429,96,0.00863516703248024
1640277175.665924,97,0.008505631238222122
1640277253.835443,98,0.006900954991579056
1640277331.775694,99,0.0075835054740309715
