Wall time,Step,Value
1640319583.398088,0,1.974782109260559
1640319652.304374,1,1.4494647979736328
1640319721.278357,2,1.2236320972442627
1640319790.481053,3,1.0605086088180542
1640319859.280803,4,0.9417974948883057
1640319928.385286,5,0.8454050421714783
1640319997.275967,6,0.7634673714637756
1640320066.371686,7,0.7087715864181519
1640320135.319411,8,0.6638308167457581
1640320204.309116,9,0.6209684610366821
1640320273.112149,10,0.5783753395080566
1640320342.058742,11,0.5466116666793823
1640320410.936444,12,0.518449604511261
1640320479.913943,13,0.4902723431587219
1640320548.947997,14,0.4713357090950012
1640320618.079757,15,0.44603052735328674
1640320687.073361,16,0.4348524212837219
1640320755.98504,17,0.4163455665111542
1640320825.029465,18,0.39858096837997437
1640320893.928816,19,0.3803747892379761
1640320962.874093,20,0.3714739680290222
1640321031.982717,21,0.3609079420566559
1640321100.955495,22,0.34470033645629883
1640321169.966255,23,0.3416294455528259
1640321238.8134,24,0.32587629556655884
1640321307.701635,25,0.3122927248477936
1640321376.684393,26,0.30638808012008667
1640321445.669109,27,0.2956937551498413
1640321514.59347,28,0.28418463468551636
1640321583.831138,29,0.2819497585296631
1640321652.894192,30,0.27056750655174255
1640321721.51072,31,0.26135164499282837
1640321790.544962,32,0.25629371404647827
1640321859.519327,33,0.24786746501922607
1640321928.442076,34,0.23944170773029327
1640321997.344947,35,0.22945205867290497
1640322066.196772,36,0.2252899706363678
1640322135.060457,37,0.21778535842895508
1640322204.112012,38,0.21257366240024567
1640322273.28541,39,0.20825988054275513
1640322342.359069,40,0.20599302649497986
1640322411.419685,41,0.19554956257343292
1640322480.535205,42,0.1895577758550644
1640322549.581191,43,0.18604162335395813
1640322618.687754,44,0.1777651011943817
1640322687.808126,45,0.1763537973165512
1640322756.903323,46,0.16595907509326935
1640322825.890192,47,0.1688801497220993
1640322894.94942,48,0.15869688987731934
1640322964.281647,49,0.1549156755208969
1640323033.426669,50,0.14891266822814941
1640323102.807988,51,0.14442016184329987
1640323171.842807,52,0.14095047116279602
1640323241.087581,53,0.13935476541519165
1640323310.195456,54,0.13519074022769928
1640323379.447465,55,0.1321226954460144
1640323448.621819,56,0.1268237829208374
1640323517.733695,57,0.1225908175110817
1640323587.003923,58,0.11842217296361923
1640323656.260239,59,0.11221472918987274
1640323725.512015,60,0.11379600316286087
1640323794.557588,61,0.10805454850196838
1640323863.616537,62,0.10306863486766815
1640323933.368786,63,0.10005839169025421
1640324002.375766,64,0.10133668035268784
1640324071.323495,65,0.09446791559457779
1640324140.314219,66,0.0943712443113327
1640324209.364961,67,0.08703384548425674
1640324278.355092,68,0.08644520491361618
1640324347.302591,69,0.0862736701965332
1640324416.340264,70,0.08020201325416565
1640324485.218912,71,0.0814131572842598
1640324554.203687,72,0.07464103400707245
1640324623.200183,73,0.07498470693826675
1640324692.253908,74,0.07379885017871857
1640324761.317538,75,0.07401376962661743
1640324830.32912,76,0.07013121992349625
1640324899.309978,77,0.06841211020946503
1640324968.300723,78,0.06595011055469513
1640325037.346161,79,0.06312648952007294
1640325106.349816,80,0.06346885114908218
1640325175.305863,81,0.05963919311761856
1640325244.368579,82,0.06087189167737961
1640325313.451849,83,0.05816711112856865
1640325382.389235,84,0.058632563799619675
1640325451.331084,85,0.05486230552196503
1640325520.218078,86,0.06004468724131584
1640325589.205338,87,0.05723540484905243
1640325658.287036,88,0.0554967075586319
1640325727.204929,89,0.054451338946819305
1640325796.839311,90,0.05422326922416687
1640325866.44591,91,0.051536280661821365
1640325936.103582,92,0.051945626735687256
1640326005.750791,93,0.05278833955526352
1640326075.395757,94,0.05204497277736664
1640326144.716081,95,0.051098935306072235
1640326214.347698,96,0.05132373794913292
1640326284.094617,97,0.049373410642147064
1640326353.686397,98,0.04497593268752098
1640326423.337654,99,0.04958263039588928
