Wall time,Step,Value
1640319583.400666,0,0.0010000000474974513
1640319652.306853,1,0.0009997532470151782
1640319721.280788,2,0.000999013427644968
1640319790.483553,3,0.000997781055048108
1640319859.283315,4,0.0009960574097931385
1640319928.387688,5,0.0009938442381098866
1640319997.278539,6,0.0009911436354741454
1640320066.374268,7,0.0009879583958536386
1640320135.321915,8,0.0009842915460467339
1640320204.311649,9,0.0009801469277590513
1640320273.114626,10,0.0009755282662808895
1640320342.061135,11,0.0009704404510557652
1640320410.938951,12,0.0009648882551118731
1640320479.916417,13,0.000958877382799983
1640320548.950351,14,0.0009524135966785252
1640320618.082257,15,0.0009455032995902002
1640320687.075886,16,0.0009381533600389957
1640320755.98748,17,0.000930371112190187
1640320825.031887,18,0.0009221640066243708
1640320893.931255,19,0.000913540308829397
1640320962.876705,20,0.0009045085171237588
1640321031.985236,21,0.000895077595487237
1640321100.958021,22,0.0008852566825225949
1640321169.968692,23,0.000875055615324527
1640321238.815868,24,0.0008644843474030495
1640321307.704121,25,0.0008535534725524485
1640321376.686882,26,0.0008422736427746713
1640321445.67181,27,0.0008306559757329524
1640321514.595919,28,0.0008187120547518134
1640321583.833517,29,0.0008064535795710981
1640321652.896632,30,0.0007938926573842764
1640321721.513259,31,0.0007810417446307838
1640321790.547498,32,0.0007679133559577167
1640321859.521765,33,0.0007545208209194243
1640321928.444565,34,0.0007408768287859857
1640321997.347547,35,0.0007269952911883593
1640322066.199215,36,0.0007128897123038769
1640322135.062972,37,0.0006985740037634969
1640322204.114382,38,0.0006840622518211603
1640322273.287913,39,0.0006693690083920956
1640322342.361591,40,0.0006545085343532264
1640322411.422773,41,0.000639495556242764
1640322480.537616,42,0.0006243449752219021
1640322549.58371,43,0.0006090716342441738
1640322618.690684,44,0.0005936906673014164
1640322687.811149,45,0.0005782172665931284
1640322756.905828,46,8.439999510301277e-05
1640322825.892796,47,0.000547054223716259
1640322894.952399,48,0.0005313952569849789
1640322964.284157,49,0.0005157053819857538
1640323033.429521,50,0.0004999999655410647
1640323102.810474,51,0.0004842946073040366
1640323171.845817,52,0.0004686047905124724
1640323241.090038,53,0.0004529458819888532
1640323310.198555,54,0.000437333423178643
1640323379.449934,55,0.0004217827518004924
1640323448.624762,56,0.00040630935109220445
1640323517.736751,57,0.00039092841325327754
1640323587.006385,58,0.0003756550722755492
1640323656.262755,59,0.0003605044912546873
1640323725.515151,60,0.00034549154224805534
1640323794.560033,61,0.00033063103910535574
1640323863.619425,62,0.0003159377083647996
1640323933.371164,63,0.00030142601463012397
1640324002.378944,64,0.00028711030608974397
1640324071.325991,65,4.0950722905108705e-05
1640324140.31745,66,0.0002591232187114656
1640324209.367467,67,0.00024547934299334884
1640324278.358122,68,0.00023208654602058232
1640324347.304954,69,0.00021895827376283705
1640324416.343392,70,3.091611142735928e-05
1640324485.22178,71,0.0001935465115820989
1640324554.206156,72,0.00018128800729755312
1640324623.203252,73,0.00016934407176449895
1640324692.25639,74,0.00015772647748235613
1640324761.32042,75,2.1966992790112272e-05
1640324830.332224,76,0.00013551570009440184
1640324899.313153,77,0.0001249444903805852
1640324968.303756,78,0.00011474338680272922
1640325037.348161,79,0.00010492248111404479
1640325106.352246,80,1.4323733921628445e-05
1640325175.308903,81,8.645970228826627e-05
1640325244.371034,82,7.783601176925004e-05
1640325313.454379,83,6.962895713513717e-05
1640325382.391268,84,6.18467092863284e-05
1640325451.333612,85,8.174514732672833e-06
1640325520.220482,86,4.7586501750629395e-05
1640325589.208526,87,4.1122646507574245e-05
1640325658.289574,88,3.511172690195963e-05
1640325727.207344,89,2.9559612812590785e-05
1640325796.841798,90,3.6707642721012235e-06
1640325866.449039,91,1.9853176127071492e-05
1640325936.106326,92,1.5708417777204886e-05
1640326005.753676,93,1.2041628906445112e-05
1640326075.39855,94,8.856386557454243e-06
1640326144.718036,95,9.233728519575379e-07
1640326214.350186,96,3.942638613807503e-06
1640326284.097153,97,2.219021325799986e-06
1640326353.689536,98,9.866357686405536e-07
1640326423.340374,99,2.467334354605555e-07
