Wall time,Step,Value
1640252910.613005,0,0.0006000000284984708
1640252945.415164,1,0.0006000000284984708
1640252980.147834,2,0.0006000000284984708
1640253015.026681,3,0.0006000000284984708
1640253049.727638,4,0.0006000000284984708
1640253084.402637,5,0.0006000000284984708
1640253119.094368,6,0.0006000000284984708
1640253153.784668,7,0.0006000000284984708
1640253188.467515,8,0.0006000000284984708
1640253223.386187,9,0.0006000000284984708
1640253258.438514,10,0.0006000000284984708
1640253293.446332,11,0.0006000000284984708
1640253328.177161,12,0.0006000000284984708
1640253362.872839,13,0.0006000000284984708
1640253397.472748,14,0.0006000000284984708
1640253433.427825,15,0.0006000000284984708
1640253469.778846,16,0.00023999999393709004
1640253505.034385,17,0.00023999999393709004
1640253539.782895,18,0.00023999999393709004
1640253574.444365,19,0.00023999999393709004
1640253609.123989,20,0.00023999999393709004
1640253643.88335,21,0.00023999999393709004
1640253678.586358,22,0.00023999999393709004
1640253713.251357,23,0.00023999999393709004
1640253748.023303,24,3.599999763537198e-05
1640253782.726449,25,0.00023999999393709004
1640253817.411443,26,0.00023999999393709004
1640253852.149189,27,0.00023999999393709004
1640253886.824878,28,0.00023999999393709004
1640253921.473395,29,3.599999763537198e-05
1640253956.201175,30,0.00023999999393709004
1640253990.921178,31,0.00023999999393709004
1640254025.60436,32,0.00023999999393709004
1640254060.288641,33,0.00023999999393709004
1640254094.957141,34,3.599999763537198e-05
1640254129.675863,35,0.00023999999393709004
1640254164.453252,36,1.8000000636675395e-05
1640254199.197031,37,1.8000000636675395e-05
1640254233.919394,38,1.8000000636675395e-05
1640254268.95831,39,1.8000000636675395e-05
1640254304.775379,40,1.8000000636675395e-05
1640254340.554561,41,1.8000000636675395e-05
1640254375.190013,42,2.7000000955013093e-06
1640254409.801028,43,1.8000000636675395e-05
1640254444.366995,44,1.8000000636675395e-05
1640254479.026164,45,1.8000000636675395e-05
1640254513.595361,46,1.8000000636675395e-05
1640254548.170705,47,2.7000000955013093e-06
1640254582.985403,48,1.8000000636675395e-05
1640254617.597,49,1.8000000636675395e-05
1640254652.179579,50,1.8000000636675395e-05
1640254686.733448,51,1.8000000636675395e-05
1640254721.294721,52,2.7000000955013093e-06
1640254755.784183,53,1.8000000636675395e-05
1640254790.360689,54,1.8000000636675395e-05
1640254824.847414,55,1.8000000636675395e-05
1640254859.51473,56,1.2000000424450263e-06
1640254894.105346,57,1.8000000068241206e-07
1640254928.638723,58,1.2000000424450263e-06
1640254963.157802,59,1.2000000424450263e-06
1640254997.718551,60,1.2000000424450263e-06
1640255032.176641,61,1.2000000424450263e-06
1640255066.71268,62,1.8000000068241206e-07
1640255101.352304,63,1.2000000424450263e-06
1640255136.035866,64,1.2000000424450263e-06
1640255170.650432,65,1.2000000424450263e-06
1640255205.911127,66,1.2000000424450263e-06
1640255242.174488,67,1.8000000068241206e-07
1640255278.420038,68,1.2000000424450263e-06
1640255313.751722,69,1.2000000424450263e-06
1640255348.346316,70,1.2000000424450263e-06
1640255382.935679,71,4.799999828719592e-07
1640255417.550215,72,7.199999885187935e-08
1640255452.194962,73,4.799999828719592e-07
1640255486.774374,74,4.799999828719592e-07
1640255521.316513,75,4.799999828719592e-07
1640255555.854323,76,4.799999828719592e-07
1640255590.358018,77,7.199999885187935e-08
1640255624.889161,78,4.799999828719592e-07
1640255659.384185,79,4.799999828719592e-07
1640255693.966829,80,4.799999828719592e-07
1640255728.566031,81,2.399999914359796e-07
1640255763.037975,82,3.599999942593968e-08
1640255797.516597,83,2.399999914359796e-07
1640255832.058651,84,2.399999914359796e-07
1640255866.57814,85,2.399999914359796e-07
1640255901.124523,86,2.399999914359796e-07
1640255935.708506,87,3.599999942593968e-08
1640255970.393512,88,2.399999914359796e-07
1640256005.050119,89,2.399999914359796e-07
1640256039.684664,90,2.399999914359796e-07
1640256074.232423,91,1.199999957179898e-07
1640256108.825018,92,1.799999971296984e-08
1640256143.501262,93,1.199999957179898e-07
1640256178.043026,94,1.199999957179898e-07
1640256212.618682,95,1.199999957179898e-07
1640256246.775056,96,1.199999957179898e-07
1640256280.916302,97,1.799999971296984e-08
1640256315.14751,98,1.199999957179898e-07
1640256349.365616,99,1.199999957179898e-07
