Wall time,Step,Value
1640252910.611699,0,1.7075556516647339
1640252945.414012,1,1.1575654745101929
1640252980.146348,2,0.9227082133293152
1640253015.025237,3,0.775493860244751
1640253049.726359,4,0.6833532452583313
1640253084.401371,5,0.6104626059532166
1640253119.093104,6,0.550439178943634
1640253153.783374,7,0.503495991230011
1640253188.466345,8,0.4766404330730438
1640253223.384801,9,0.4380519390106201
1640253258.437299,10,0.4075610041618347
1640253293.445069,11,0.3837434649467468
1640253328.175999,12,0.3607445955276489
1640253362.871616,13,0.33674150705337524
1640253397.471589,14,0.31578388810157776
1640253433.426487,15,0.3031631112098694
1640253469.777596,16,0.22253364324569702
1640253505.032987,17,0.1999431848526001
1640253539.781738,18,0.1850346326828003
1640253574.443002,19,0.1749686598777771
1640253609.122715,20,0.16817815601825714
1640253643.882089,21,0.1574103832244873
1640253678.585109,22,0.15144877135753632
1640253713.250058,23,0.14708861708641052
1640253748.021943,24,0.13797925412654877
1640253782.725169,25,0.1371929943561554
1640253817.410283,26,0.12646636366844177
1640253852.147936,27,0.1234717071056366
1640253886.823566,28,0.11618342250585556
1640253921.472182,29,0.11308537423610687
1640253956.199588,30,0.10538572818040848
1640253990.919914,31,0.1073133572936058
1640254025.603101,32,0.10238759964704514
1640254060.287444,33,0.09877397119998932
1640254094.955774,34,0.09487100690603256
1640254129.674586,35,0.09161046892404556
1640254164.452061,36,0.06631592661142349
1640254199.195829,37,0.05662478134036064
1640254233.918236,38,0.04967464506626129
1640254268.957078,39,0.0474867969751358
1640254304.774173,40,0.04721810668706894
1640254340.553369,41,0.047234464436769485
1640254375.188775,42,0.04391811788082123
1640254409.799856,43,0.04207110032439232
1640254444.365731,44,0.04248736798763275
1640254479.024896,45,0.04250562563538551
1640254513.594044,46,0.03748038038611412
1640254548.169429,47,0.039477791637182236
1640254582.984105,48,0.03781271353363991
1640254617.595616,49,0.036927610635757446
1640254652.178398,50,0.036731135100126266
1640254686.732142,51,0.036285508424043655
1640254721.293543,52,0.035293079912662506
1640254755.782828,53,0.03364715352654457
1640254790.359347,54,0.032048363238573074
1640254824.846117,55,0.033608850091695786
1640254859.513464,56,0.03235414996743202
1640254894.104136,57,0.03195677697658539
1640254928.637538,58,0.030269652605056763
1640254963.156596,59,0.03147313371300697
1640254997.717295,60,0.0306570865213871
1640255032.175364,61,0.02862449362874031
1640255066.711497,62,0.03003850392997265
1640255101.351136,63,0.029848963022232056
1640255136.034591,64,0.030600115656852722
1640255170.649133,65,0.031458668410778046
1640255205.909748,66,0.031167544424533844
1640255242.173246,67,0.0287137720733881
1640255278.418904,68,0.03106112591922283
1640255313.750629,69,0.03044707700610161
1640255348.345046,70,0.02976551279425621
1640255382.934519,71,0.029836783185601234
1640255417.549022,72,0.03160685673356056
1640255452.193693,73,0.02871801145374775
1640255486.773207,74,0.029393652454018593
1640255521.315317,75,0.02896435558795929
1640255555.853133,76,0.029907818883657455
1640255590.356977,77,0.0303358007222414
1640255624.888088,78,0.03044426627457142
1640255659.383007,79,0.03246523439884186
1640255693.965651,80,0.029948711395263672
1640255728.564676,81,0.028018761426210403
1640255763.036834,82,0.03042038530111313
1640255797.515365,83,0.02964850142598152
1640255832.057581,84,0.02933529019355774
1640255866.576824,85,0.02951890230178833
1640255901.123363,86,0.030436886474490166
1640255935.707349,87,0.030480921268463135
1640255970.392431,88,0.02947901375591755
1640256005.048912,89,0.028825106099247932
1640256039.683438,90,0.028714437037706375
1640256074.23134,91,0.029084302484989166
1640256108.823931,92,0.030724694952368736
1640256143.499943,93,0.02783665433526039
1640256178.041937,94,0.02988526225090027
1640256212.617539,95,0.030531249940395355
1640256246.773697,96,0.029103577136993408
1640256280.915197,97,0.030517077073454857
1640256315.146355,98,0.028344985097646713
1640256349.364426,99,0.02884133905172348
