Wall time,Step,Value
1640252910.612251,0,0.38499999046325684
1640252945.414547,1,0.5863749980926514
1640252980.147051,2,0.6747249960899353
1640253015.025854,3,0.727400004863739
1640253049.726898,4,0.7634999752044678
1640253084.40191,5,0.7884250283241272
1640253119.093645,6,0.8093000054359436
1640253153.784028,7,0.8264999985694885
1640253188.466883,8,0.834850013256073
1640253223.38545,9,0.8492249846458435
1640253258.437862,10,0.8589000105857849
1640253293.445628,11,0.8676999807357788
1640253328.176543,12,0.8745999932289124
1640253362.872152,13,0.8833249807357788
1640253397.472127,14,0.8903499841690063
1640253433.42712,15,0.8949750065803528
1640253469.77813,16,0.9223499894142151
1640253505.033724,17,0.9308750033378601
1640253539.782277,18,0.9351000189781189
1640253574.44372,19,0.9386749863624573
1640253609.123281,20,0.940500020980835
1640253643.882649,21,0.9436500072479248
1640253678.585664,22,0.9458749890327454
1640253713.250591,23,0.948324978351593
1640253748.022561,24,0.9507750272750854
1640253782.725726,25,0.9521499872207642
1640253817.410821,26,0.9551500082015991
1640253852.148469,27,0.9563000202178955
1640253886.824102,28,0.9592000246047974
1640253921.472752,29,0.9596750140190125
1640253956.200394,30,0.9629499912261963
1640253990.920447,31,0.9625250101089478
1640254025.603652,32,0.9641749858856201
1640254060.287982,33,0.9657250046730042
1640254094.956483,34,0.9666749835014343
1640254129.675124,35,0.9676250219345093
1640254164.452596,36,0.9765250086784363
1640254199.196385,37,0.9803249835968018
1640254233.918774,38,0.9831500053405762
1640254268.957642,39,0.9841750264167786
1640254304.774714,40,0.9837250113487244
1640254340.553904,41,0.9833750128746033
1640254375.189319,42,0.9847999811172485
1640254409.800401,43,0.986299991607666
1640254444.366268,44,0.9851499795913696
1640254479.025441,45,0.9849500060081482
1640254513.594604,46,0.9874250292778015
1640254548.170068,47,0.9865249991416931
1640254582.984726,48,0.9865999817848206
1640254617.596268,49,0.9871500134468079
1640254652.178931,50,0.987625002861023
1640254686.732702,51,0.9878249764442444
1640254721.294097,52,0.9886000156402588
1640254755.783475,53,0.988349974155426
1640254790.359981,54,0.9894499778747559
1640254824.846743,55,0.9884499907493591
1640254859.514025,56,0.9883750081062317
1640254894.104711,57,0.9891250133514404
1640254928.638072,58,0.9897500276565552
1640254963.157169,59,0.9893500208854675
1640254997.717833,60,0.9898250102996826
1640255032.175901,61,0.9904749989509583
1640255066.712033,62,0.989549994468689
1640255101.351672,63,0.9902750253677368
1640255136.03522,64,0.9899500012397766
1640255170.649687,65,0.9894750118255615
1640255205.910343,66,0.9896000027656555
1640255242.173783,67,0.9902499914169312
1640255278.41934,68,0.9898250102996826
1640255313.751085,69,0.9902499914169312
1640255348.34567,70,0.9900749921798706
1640255382.935056,71,0.9897750020027161
1640255417.549565,72,0.9890499711036682
1640255452.19423,73,0.9904999732971191
1640255486.773751,74,0.989425003528595
1640255521.315874,75,0.989799976348877
1640255555.853671,76,0.9898499846458435
1640255590.357366,77,0.9896000027656555
1640255624.888523,78,0.9898250102996826
1640255659.383543,79,0.9887499809265137
1640255693.966206,80,0.9896249771118164
1640255728.565331,81,0.9905250072479248
1640255763.037267,82,0.9894750118255615
1640255797.515952,83,0.9898999929428101
1640255832.058014,84,0.9898499846458435
1640255866.577441,85,0.9895750284194946
1640255901.123904,86,0.9890999794006348
1640255935.707782,87,0.989549994468689
1640255970.392864,88,0.9897500276565552
1640256005.049468,89,0.9904500246047974
1640256039.684004,90,0.9902250170707703
1640256074.231718,91,0.9900749921798706
1640256108.824314,92,0.9894499778747559
1640256143.500528,93,0.9903749823570251
1640256178.042322,94,0.989799976348877
1640256212.617973,95,0.9893500208854675
1640256246.774329,96,0.990149974822998
1640256280.915593,97,0.989799976348877
1640256315.146797,98,0.9904749989509583
1640256349.364964,99,0.9906250238418579
